Time,Price,5-Day EMA,KNN MA,Highlight
264,369.32998657227,369.3140487543677,369.25824584961003,Green
265,369.22100830078,369.2830352698385,369.29824218750196,Red
266,369.45001220703,369.3386942489023,369.313446044924,Green
267,369.64999389648,369.4424607980949,369.339447021486,Green
268,369.70999145508,369.53163768375657,369.391442871094,Green
269,369.73989868164,369.6010580163844,369.472198486328,Green
270,369.79998779297,369.6673679419129,369.554180908202,Green
271,369.80499267578,369.71324285320196,369.66997680663997,Green
272,369.91000366211,369.77882978950464,369.74097290039,Green
273,369.95498657227,369.8375487170931,369.79297485351606,Green
274,370.16000366211,369.9450336987654,369.84197387695406,Green
275,369.61499023438,369.835019210637,369.925994873048,Red
276,369.88000488281,369.85001443469463,369.88899536133,Red
277,370.7799987793,370.16000921622975,369.903997802736,Green
278,370.79998779297,370.3733354084765,370.077996826174,Green
279,370.89498901367,370.547219943541,370.246997070314,Green
280,370.64999389648,370.581477927854,370.393994140626,Green
281,370.67999267578,370.61431617716266,370.60099487304603,Green
282,370.67001342773,370.6328819273518,370.76099243164,Red
283,370.88000488281,370.71525624583785,370.738995361326,Red
284,371.42001342773,370.95017530646857,370.754998779294,Green
285,371.60000610352,371.1667855721524,370.860003662106,Green
286,371.48999023438,371.2745204595616,371.05000610351397,Green
287,371.61499023438,371.38801038450106,371.21200561523403,Green
288,371.85000610352,371.5420089575074,371.401000976564,Green
289,371.41000366211,371.4980071923749,371.59500122070597,Red
290,371.29998779297,371.4320007259066,371.592999267582,Red
291,371.08499145508,371.3163309689644,371.532995605472,Red
292,371.5950012207,371.40922105287626,371.451995849612,Red
293,371.20999145508,371.3428111869442,371.447998046876,Red
294,371.35000610352,371.34520949246945,371.31999511718794,Green
295,371.02960205078,371.2400070119063,371.30799560546996,Red
296,370.65100097656,371.0436716667909,371.253918457032,Red
297,370.32998657227,370.8057766352839,371.167120361328,Red
298,370.32998657227,370.6471799476126,370.914117431642,Red
299,370.5,370.59811996507506,370.73811645508,Red
300,370.30999755859,370.5020791629134,370.568115234376,Red
301,370.62979125977,370.5446498618656,370.42419433593795,Green
302,370.73001098633,370.6064369033537,370.41995239258,Green
303,370.45159912109,370.5548243092658,370.4999572753919,Green
304,370.08999633789,370.39988165214055,370.52427978515595,Red
305,370.10009765625,370.2999536535104,370.44227905273397,Red
306,370.10000610352,370.23330447018026,370.40029907226597,Red
307,370.16949462891,370.21203452309015,370.29434204101597,Red
308,370.48999023438,370.30468642685344,370.182238769532,Green
309,370.38000488281,370.329792578839,370.18991699219,Green
