Timestamp: 0, Price: 362.83999633789, EMA: 0.0, KNN: 0.0
Timestamp: 66, Price: 369.89010620117, EMA: 369.65547925317003, KNN: 369.395001220702
Timestamp: 67, Price: 369.76000976562, EMA: 369.69032275732, KNN: 369.57902221679603
Timestamp: 68, Price: 369.85000610352, EMA: 369.74355053938666, KNN: 369.733026123044
Timestamp: 69, Price: 370.02011108398, EMA: 369.83573738758446, KNN: 369.827026367186
[91mTimestamp: 70, Price: 369.76998901367, EMA: 369.8138212629463, KNN: 369.906048583982[0m
[92mTimestamp: 71, Price: 370.17010498047, EMA: 369.93258250212085, KNN: 369.858044433592[0m
Timestamp: 72, Price: 369.94000244141, EMA: 369.93505581521725, KNN: 369.91404418945206
[91mTimestamp: 73, Price: 369.80499267578, EMA: 369.89170143540485, KNN: 369.95004272461[0m
Timestamp: 74, Price: 370.01000976562, EMA: 369.9311375454766, KNN: 369.94104003906193
[92mTimestamp: 75, Price: 370.04998779297, EMA: 369.97075429464104, KNN: 369.93901977538997[0m
[91mTimestamp: 76, Price: 370.01000976562, EMA: 369.983839451634, KNN: 369.99501953125[0m
Timestamp: 77, Price: 369.42001342773, EMA: 369.79589744366604, KNN: 369.96300048828
[92mTimestamp: 78, Price: 370.51998901367, EMA: 370.037261300334, KNN: 369.859002685544[0m
Timestamp: 79, Price: 370.4700012207, EMA: 370.181507940456, KNN: 370.00200195312203
Timestamp: 80, Price: 370.23999023438, EMA: 370.20100203843066, KNN: 370.094000244138
Timestamp: 81, Price: 370.10791015625, EMA: 370.1699714110371, KNN: 370.13200073242
[91mTimestamp: 82, Price: 369.38989257812, EMA: 369.9099451333981, KNN: 370.151580810546[0m
Timestamp: 83, Price: 369.14001464844, EMA: 369.6533016384121, KNN: 370.145556640624
Timestamp: 84, Price: 369.39999389648, EMA: 369.5688657244347, KNN: 369.869561767578
Timestamp: 85, Price: 369.30999755859, EMA: 369.48257633581983, KNN: 369.655560302734
Timestamp: 86, Price: 369.14498901367, EMA: 369.37004722843653, KNN: 369.469561767576
[92mTimestamp: 87, Price: 369.30621337891, EMA: 369.3487692785944, KNN: 369.27697753906006[0m
Timestamp: 88, Price: 369.45001220703, EMA: 369.38251692140625, KNN: 369.260241699218
Timestamp: 89, Price: 369.73989868164, EMA: 369.5016441748175, KNN: 369.32224121093594
